,artist,rank,title,week
2057,AMG,8,Bitch Betta Have My Money,3--
2058,LL Cool J,9,6 Minutes Of Pleasure,3--
2059,Kool Moe Dee,10,How Kool Can One Black Man Be,3--
2060,Jibri Wise One,11,The House The Dog Built,3--
2061,Grandaddy I.U.,12,Sugar Free,3--
2062,Main Source,13,Just Hangin' Out,3--
2063,M.C. Breed & D.F.C.,14,Ain't No Future In Yo' Fronting,3--
2064,Compton's Most Wanted,15,Growin' Up In The Hood,3--
2065,Son Of Bazerk,16,"Bang (Get Down, Get Down)",3--
2066,Ice-T,17,O.G. Original Gangster,3--
2067,Big Daddy Kane,18,It's Hard Being The Kane,3--
2068,Fifth Platoon,19,Party Line,3--
2069,The Dogs Feat. Disco Rick,20,Do The Nasty Dance,3--
2070,Rodney O & Joe Cooley,21,Get Ready To Roll,3--
2071,Redhead Kingpin,22,It's A Love Thang,3--
2072,Terminator X,23,Homey Don't Play Dat,3--
2073,Greyson & Jason,24,Get Bizzy,3--
2074,"Sam ""The Beast""",25,Knock Some Boots,3--
2075,Chubb Rock,1,The Chubbster,0--
2076,D.J. Jazzy Jeff & The Fresh Prince,2,Summertime,0--
2077,Slick Rick,3,I Shouldn't Have Done It,0--
2078,Heavy D & The Boyz,4,Now That We Found Love,0--
2079,DJ Quik,5,Tonite,0--
2080,Jibri Wise One,6,The House The Dog Built,0--
2081,LL Cool J,7,6 Minutes Of Pleasure,0--
2082,3rd Bass,8,Pop Goes The Weasel,0--
2083,Compton's Most Wanted,9,Growin' Up In The Hood,0--
2084,Kool Moe Dee,10,How Kool Can One Black Man Be,0--
2085,Main Source,11,Just Hangin' Out,0--
2086,AMG,12,Bitch Betta Have My Money,0--
2087,M.C. Breed & D.F.C.,13,Ain't No Future In Yo' Fronting,0--
2088,Grandaddy I.U.,14,Sugar Free,0--
2089,Son Of Bazerk,15,"Bang (Get Down, Get Down)",0--
2090,Redhead Kingpin,16,It's A Love Thang,0--
2091,T.C.F.,17,If You Wanna Sex Me Up,0--
2092,Big Daddy Kane,18,It's Hard Being The Kane,0--
2093,Rodney O & Joe Cooley,19,Get Ready To Roll,0--
2094,Brand Nubian,20,Slow Down,0--
2095,Fifth Platoon,21,Party Line,0--
2096,Greyson & Jason,22,Get Bizzy,0--
2097,The Dogs Feat. Disco Rick,23,Do The Nasty Dance,0--
2098,Naughty By Nature,24,O.P.P.,0--
2099,Young Black Teenagers,25,Loud And Hard To Hit,0--
2100,Chubb Rock,1,The Chubbster,7--
2101,Slick Rick,2,I Shouldn't Have Done It,7--
2102,Jibri Wise One,3,The House The Dog Built,7--
2103,Heavy D & The Boyz,4,Now That We Found Love,7--
2104,DJ Quik,5,Tonite,7--
2105,D.J. Jazzy Jeff & The Fresh Prince,6,Summertime,7--
2106,Compton's Most Wanted,7,Growin' Up In The Hood,7--
2107,LL Cool J,8,6 Minutes Of Pleasure,7--
2108,Kool Moe Dee,9,How Kool Can One Black Man Be,7--
2109,3rd Bass,10,Pop Goes The Weasel,7--
2110,AMG,11,Bitch Betta Have My Money,7--
2111,M.C. Breed & D.F.C.,12,Ain't No Future In Yo' Fronting,7--
2112,Main Source,13,Just Hangin' Out,7--
2113,Redhead Kingpin,14,It's A Love Thang,7--
2114,Naughty By Nature,15,O.P.P.,7--
2115,T.C.F.,16,If You Wanna Sex Me Up,7--
2116,Big Daddy Kane,17,It's Hard Being The Kane,7--
2117,Greyson & Jason,18,Get Bizzy,7--
2118,Biz Markie,19,What Comes Around Goes Around,7--
2119,Tim Dog,20,F-ck Compton,7--
2120,Leaders Of The New School,21,Sobb Story,7--
2121,Son Of Bazerk,22,"Bang (Get Down, Get Down)",7--
2122,Justin Warfield,23,Season Of The Vic,7--
2123,Rodney O & Joe Cooley,24,Get Ready To Roll,7--
2124,Geto Boys,25,Mind Playing Tricks On Me,7--
2125,Jibri Wise One,1,The House The Dog Built,4--
2126,Chubb Rock,2,The Chubbster,4--
