,artist,rank,title
3308,Heavy D & The Boyz,9,Don't Curse/You Can't See What I See
3309,Das EFX,10,They Want EFX
3310,Arrested Development,11,Tennessee
3311,Nice & Smooth,12,Sometimes I Rhyme Slow
3312,Dr. Dre Introducing Snoop Doggy Dogg,13,Deep Cover
3313,Sir Mix-A-Lot,14,Baby Got Back
3314,Organized Konfusion,15,Walk Into The Sun
3315,Tim Dog,16,Bronx Nigga
3316,M.C. Breed,17,Ain't To Be F...ed With
3317,House Of Pain,18,Jump Around
3318,Kwame,19,Nastee
3319,Penthouse Players Clique,20,Explanation Of A Playa
3320,A Tribe Called Quest,21,Scenario
3321,Too $hort,22,I Want To Be Free
3322,Main Source,23,Fakin' The Funk
3323,N2Deep,24,Back To The Hotel
3324,Ultramagnetic MC's,25,Poppa Large
3325,Kris Kross,1,Warm It Up
3326,Gang Starr,2,Take It Personal
3327,Fu-Schnickens,3,La Schmoove
3328,Pete Rock & C.L. Smooth,4,They Reminisce Over You (T.R.O.Y.)
3329,Eric B. & Rakim,5,Don't Sweat The Technique
3330,Keith Sweat Feat. L.L. Cool J,6,Why Me Baby? (Pt. 2)
3331,Yo-Yo,7,Home Girl Don't Play Dat
3332,Black Sheep,8,Strobelite Honey
3333,Heavy D & The Boyz,9,Don't Curse/You Can't See What I See
3334,House Of Pain,10,Jump Around
3335,Das EFX,11,They Want EFX
3336,Too $hort,12,I Want To Be Free
3337,Main Source,13,Fakin' The Funk
3338,M.C. Breed,14,Ain't To Be F...ed With
3339,Arrested Development,15,Tennessee
3340,Kwame,16,Nastee
3341,N2Deep,17,Back To The Hotel
3342,Sir Mix-A-Lot,18,Baby Got Back
3343,Kid Frost,19,Thin Line
3344,Dr. Dre Introducing Snoop Doggy Dogg,20,Deep Cover
3345,Tim Dog,21,Bronx Nigga
3346,Penthouse Players Clique,22,Explanation Of A Playa
3347,Nice & Smooth,23,Sometimes I Rhyme Slow
3348,Spice 1,24,Welcome To The Ghetto
3349,Chi-Ali,25,Roadrunner
3350,Kris Kross,1,Warm It Up
3351,Eric B. & Rakim,2,Don't Sweat The Technique
3352,Gang Starr,3,Take It Personal
3353,Yo-Yo,4,Home Girl Don't Play Dat
3354,Fu-Schnickens,5,La Schmoove
3355,Pete Rock & C.L. Smooth,6,They Reminisce Over You (T.R.O.Y.)
3356,Black Sheep,7,Strobelite Honey
3357,House Of Pain,8,Jump Around
3358,Main Source,9,Fakin' The Funk
3359,Too $hort,10,I Want To Be Free
3360,Keith Sweat Feat. L.L. Cool J,11,Why Me Baby? (Pt. 2)
3361,N2Deep,12,Back To The Hotel
3362,Das EFX,13,They Want EFX
3363,Kid Frost,14,Thin Line
3364,Heavy D & The Boyz,15,Don't Curse/You Can't See What I See
3365,M.C. Breed,16,Ain't To Be F...ed With
3366,Spice 1,17,Welcome To The Ghetto
3367,Kwame,18,Nastee
3368,EPMD,19,Crossover
3369,Monie Love,20,"Full Term Love (From ""Class Act"")"
3370,Chi-Ali,21,Roadrunner
