,artist,rank,title
4780,Lords Of The Underground,6,Chief Rocka
4781,Intelligent Hoodlum,7,Grand Groove/At Large
4782,Cypress Hill,8,Insane In The Brain
4783,M.C. Breed,9,Gotta Get Mine
4784,2Pac,10,I Get Around
4785,Fat Joe,11,Flow Joe
4786,Knucklehedz,12,All She Wanted/Hed Rush
4787,Boss,13,Recipe Of A Hoe
4788,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",14,Very Special/Stop Shammin'
4789,Mista Grimm,15,Indo Smoke
4790,Funkdoobiest,16,The Funkiest/Freak Mode
4791,RBL Posse,17,Don't Give Me No Bammer
4792,Jungle Brothers,18,40 Below Trooper/All I Think...
4793,Illegal,19,We Getz Buzy
4794,The Almighty RSO,20,Badd Boyz
4795,95 South,21,"Whoot, There It Is"
4796,Young Black Teenagers,22,Roll W/ The Flavor
4797,Tag Team,23,Whoomp! (There It Is)
4798,Trends Of Culture,24,Valley Of The Skinz
4799,Yo-Yo,25,Bonnie & Clyde/IBWin' Wit My Crewin'
4800,Kris Kross Featuring Supercat,1,Alright
4801,Ice Cube Featuring Das EFX,2,Check Yo Self
4802,Scarface,3,Let Me Roll
4803,Lords Of The Underground,4,Chief Rocka
4804,Intelligent Hoodlum,5,Grand Groove/At Large
4805,LL Cool J,6,Back Seat (Of My Jeep)/Pink Cookies...
4806,MC Lyte,7,Ruffneck
4807,M.C. Breed,8,Gotta Get Mine
4808,Fat Joe,9,Flow Joe
4809,Boss,10,Recipe Of A Hoe
4810,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",11,Very Special/Stop Shammin'
4811,2Pac,12,I Get Around
4812,Cypress Hill,13,Insane In The Brain
4813,Illegal,14,We Getz Buzy
4814,Mista Grimm,15,Indo Smoke
4815,RBL Posse,16,Don't Give Me No Bammer
4816,Funkdoobiest,17,The Funkiest/Freak Mode
4817,Trends Of Culture,18,Valley Of The Skinz
4818,The Almighty RSO,19,Badd Boyz
4819,Hoodratz,20,Bootlegga
4820,Run-D.M.C.,21,"Ooh, Whatcha Gonna Do"
4821,Knucklehedz,22,All She Wanted/Hed Rush
4822,Jazzy Jeff & The Fresh Prince,23,Boom! Shake The Room
4823,Threat,24,Let The Dogs Loose
4824,Young Black Teenagers,25,Roll W/ The Flavor
4825,Kris Kross Featuring Supercat,1,Alright
4826,Scarface,2,Let Me Roll
4827,Intelligent Hoodlum,3,Grand Groove/At Large
4828,Lords Of The Underground,4,Chief Rocka
4829,Ice Cube Featuring Das EFX,5,Check Yo Self
4830,M.C. Breed,6,Gotta Get Mine
4831,Fat Joe,7,Flow Joe
4832,Boss,8,Recipe Of A Hoe
4833,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",9,Very Special/Stop Shammin'
4834,LL Cool J,10,Back Seat (Of My Jeep)/Pink Cookies...
4835,Illegal,11,We Getz Buzy
4836,MC Lyte,12,Ruffneck
4837,2Pac,13,I Get Around
4838,Mista Grimm,14,Indo Smoke
4839,Trends Of Culture,15,Valley Of The Skinz
4840,Cypress Hill,16,Insane In The Brain
4841,RBL Posse,17,Don't Give Me No Bammer
4842,Funkdoobiest,18,The Funkiest/Freak Mode
4843,Hoodratz,19,Bootlegga
4844,The Almighty RSO,20,Badd Boyz
4845,Common Sense,21,Soul By The Pound
4846,Threat,22,Let The Dogs Loose
4847,Run-D.M.C.,23,"Ooh, Whatcha Gonna Do"
4848,Jazzy Jeff & The Fresh Prince,24,Boom! Shake The Room
4849,Da Youngsta's,25,Iz U Wit Me
4850,Intelligent Hoodlum,1,Grand Groove/At Large
4851,Kris Kross Featuring Supercat,2,Alright
4852,Lords Of The Underground,3,Chief Rocka
4853,Scarface,4,Let Me Roll
4854,Fat Joe,5,Flow Joe
4855,M.C. Breed,6,Gotta Get Mine
4856,Boss,7,Recipe Of A Hoe
4857,Ice Cube Featuring Das EFX,8,Check Yo Self
4858,Illegal,9,We Getz Buzy
4859,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",10,Very Special/Stop Shammin'
4860,Trends Of Culture,11,Valley Of The Skinz
4861,MC Lyte,12,Ruffneck
4862,Mista Grimm,13,Indo Smoke
4863,2Pac,14,I Get Around
4864,Common Sense,15,Soul By The Pound
4865,LL Cool J,16,Back Seat (Of My Jeep)/Pink Cookies...
4866,RBL Posse,17,Don't Give Me No Bammer
4867,Threat,18,Let The Dogs Loose
4868,Hoodratz,19,Bootlegga
4869,Funkdoobiest,20,The Funkiest/Freak Mode
4870,Run-D.M.C.,21,"Ooh, Whatcha Gonna Do"
4871,Da Youngsta's,22,Iz U Wit Me
4872,Onyx,23,Shifftee
4873,Leaders Of The New School,24,What's Next?
4874,Cypress Hill,25,Insane In The Brain
4875,Lords Of The Underground,1,Chief Rocka
4876,Scarface,2,Let Me Roll
4877,Intelligent Hoodlum,3,Grand Groove/At Large
4878,Fat Joe,4,Flow Joe
4879,Illegal,5,We Getz Buzy
4880,Boss,6,Recipe Of A Hoe
4881,Kris Kross Featuring Supercat,7,Alright
4882,M.C. Breed,8,Gotta Get Mine
4883,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",9,Very Special/Stop Shammin'
4884,Trends Of Culture,10,Valley Of The Skinz
4885,Ice Cube Featuring Das EFX,11,Check Yo Self
4886,Mista Grimm,12,Indo Smoke
4887,Common Sense,13,Soul By The Pound
4888,Da Youngsta's,14,Iz U Wit Me
4889,MC Lyte,15,Ruffneck
4890,Onyx,16,Shifftee
4891,Threat,17,Let The Dogs Loose
4892,2Pac,18,I Get Around
4893,Leaders Of The New School,19,What's Next?
4894,Hoodratz,20,Bootlegga
4895,RBL Posse,21,Don't Give Me No Bammer
4896,Run-D.M.C.,22,"Ooh, Whatcha Gonna Do"
4897,Rumble,23,Safe/Booyaka! Booyaka!
4898,Tha Alkaholiks,24,Make Room
4899,Cypress Hill,25,Insane In The Brain
4900,Illegal,1,We Getz Buzy
4901,Fat Joe,2,Flow Joe
4902,Boss,3,Recipe Of A Hoe
4903,Lords Of The Underground,4,Chief Rocka
4904,Scarface,5,Let Me Roll
4905,Trends Of Culture,6,Valley Of The Skinz
4906,Intelligent Hoodlum,7,Grand Groove/At Large
4907,Kris Kross Featuring Supercat,8,Alright
4908,Leaders Of The New School,9,What's Next?
4909,M.C. Breed,10,Gotta Get Mine
4910,Onyx,11,Shifftee
4911,Common Sense,12,Soul By The Pound
4912,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",13,Very Special/Stop Shammin'
4913,Da Youngsta's,14,Iz U Wit Me
4914,Mista Grimm,15,Indo Smoke
4915,Ice Cube Featuring Das EFX,16,Check Yo Self
4916,Erick Sermon,17,Stay Real
4917,2Pac,18,I Get Around
4918,MC Lyte,19,Ruffneck
4919,Hoodratz,20,Bootlegga
4920,De La Soul,21,Breakadawn
4921,Dr. Dre,22,Let Me Ride
4922,Private Investigators,23,Mash Up The Mic
4923,KRS-One,24,Outta Here
4924,Tha Alkaholiks,25,Make Room
4925,Fat Joe,1,Flow Joe
4926,Illegal,2,We Getz Buzy
4927,Boss,3,Recipe Of A Hoe
4928,Trends Of Culture,4,Valley Of The Skinz
4929,Leaders Of The New School,5,What's Next?
4930,Onyx,6,Shifftee
4931,Common Sense,7,Soul By The Pound
4932,Scarface,8,Let Me Roll
4933,Da Youngsta's,9,Iz U Wit Me
4934,Erick Sermon,10,Stay Real
4935,Lords Of The Underground,11,Chief Rocka
4936,Kris Kross Featuring Supercat,12,Alright
4937,Dr. Dre,13,Let Me Ride
4938,Mista Grimm,14,Indo Smoke
4939,Intelligent Hoodlum,15,Grand Groove/At Large
4940,KRS-One,16,Outta Here
4941,De La Soul,17,Breakadawn
4942,M.C. Breed,18,Gotta Get Mine
4943,Tha Alkaholiks,19,Make Room
4944,George Clinton,20,Paint The White House Black
4945,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",21,Very Special/Stop Shammin'
4946,Private Investigators,22,Mash Up The Mic
4947,Ice Cube Featuring Das EFX,23,Check Yo Self
4948,Poison Clan,24,Don't Sleep On A Hizzo
4949,2Pac,25,I Get Around
4950,Boss,1,Recipe Of A Hoe
4951,Trends Of Culture,2,Valley Of The Skinz
4952,Fat Joe,3,Flow Joe
4953,Illegal,4,We Getz Buzy
4954,Leaders Of The New School,5,What's Next?
4955,Onyx,6,Shifftee
4956,Erick Sermon,7,Stay Real
4957,Dr. Dre,8,Let Me Ride
4958,Common Sense,9,Soul By The Pound
4959,KRS-One,10,Outta Here
4960,George Clinton,11,Paint The White House Black
4961,Tha Alkaholiks,12,Make Room
4962,Mista Grimm,13,Indo Smoke
4963,Kris Kross Featuring Supercat,14,Alright
4964,Scarface,15,Let Me Roll
4965,De La Soul,16,Breakadawn
4966,Private Investigators,17,Mash Up The Mic
4967,Poison Clan,18,Don't Sleep On A Hizzo
4968,Lords Of The Underground,19,Chief Rocka
4969,Nikki D,20,Freak Out
4970,Salt-N-Pepa,21,Shoop
4971,Da Youngsta's,22,Iz U Wit Me
4972,2Pac,23,I Get Around
4973,Souls Of Mischief,24,93 'til Infinity
4974,Digable Planets,25,Nickel Bags
4975,Trends Of Culture,1,Valley Of The Skinz
4976,Leaders Of The New School,2,What's Next?
4977,Onyx,3,Shifftee
4978,Erick Sermon,4,Stay Real
4979,Dr. Dre,5,Let Me Ride
4980,Boss,6,Recipe Of A Hoe
4981,Common Sense,7,Soul By The Pound
4982,KRS-One,8,Outta Here
4983,Fat Joe,9,Flow Joe
4984,Illegal,10,We Getz Buzy
4985,George Clinton,11,Paint The White House Black
4986,Tha Alkaholiks,12,Make Room
4987,Salt-N-Pepa,13,Shoop
4988,Private Investigators,14,Mash Up The Mic
4989,Digable Planets,15,Nickel Bags
4990,De La Soul,16,Breakadawn
4991,Poison Clan,17,Don't Sleep On A Hizzo
4992,Souls Of Mischief,18,93 'til Infinity
4993,Biz Markie,19,Young Girl Bluez
4994,Yo-Yo,20,Westside Story
4995,Dred Scott,21,Nutin' Ta Lose
4996,Hi-C,22,Got It Like That
4997,Mista Grimm,23,Indo Smoke
4998,Nikki D,24,Freak Out
4999,Black Maddness,25,Wild Brooklyn Bandits
5000,Leaders Of The New School,1,What's Next?
5001,Onyx,2,Shifftee
5002,Erick Sermon,3,Stay Real
5003,Dr. Dre,4,Let Me Ride
5004,Trends Of Culture,5,Valley Of The Skinz
5005,KRS-One,6,Outta Here
5006,Salt-N-Pepa,7,Shoop
5007,George Clinton,8,Paint The White House Black
5008,Common Sense,9,Soul By The Pound
5009,Tha Alkaholiks,10,Make Room
5010,Poison Clan,11,Don't Sleep On A Hizzo
5011,Digable Planets,12,Nickel Bags
5012,Biz Markie,13,Young Girl Bluez
5013,Dred Scott,14,Nutin' Ta Lose
5014,Souls Of Mischief,15,93 'til Infinity
5015,Yo-Yo,16,Westside Story
5016,Boss,17,Recipe Of A Hoe
5017,Hi-C,18,Got It Like That
5018,Private Investigators,19,Mash Up The Mic
5019,Illegal,20,We Getz Buzy
5020,Fat Joe,21,Flow Joe
5021,De La Soul,22,Breakadawn
5022,Black Maddness,23,Wild Brooklyn Bandits
5023,Casual,24,That's How It Is
5024,Nikki D,25,Freak Out
5025,Erick Sermon,1,Stay Real
5026,Onyx,2,Shifftee
5027,Dr. Dre,3,Let Me Ride
5028,Salt-N-Pepa,4,Shoop
5029,Leaders Of The New School,5,What's Next?
5030,KRS-One,6,Outta Here
5031,George Clinton,7,Paint The White House Black
5032,Tha Alkaholiks,8,Make Room
5033,Biz Markie,9,Young Girl Bluez
5034,Dred Scott,10,Nutin' Ta Lose
5035,Souls Of Mischief,11,93 'til Infinity
5036,Digable Planets,12,Nickel Bags
5037,Poison Clan,13,Don't Sleep On A Hizzo
5038,Yo-Yo,14,Westside Story
5039,Hi-C,15,Got It Like That
5040,Trends Of Culture,16,Valley Of The Skinz
5041,Common Sense,17,Soul By The Pound
5042,Black Maddness,18,Wild Brooklyn Bandits
5043,Kris Kross,19,I'm Real
5044,Shaquille O'Neal,20,(I Know I Got) Skillz
5045,ED O.G & DA Bulldogs,21,Skinny Dip (Got It Goin' On)
5046,Daddy-O,22,Brooklyn Bounce
5047,Casual,23,That's How It Is
5048,Wu-Tang Clan,24,Method Man
5049,De La Soul,25,Breakadawn
5050,Salt-N-Pepa,1,Shoop
5051,Onyx,2,Shifftee
5052,Dr. Dre,3,Let Me Ride
5053,Erick Sermon,4,Stay Real
5054,KRS-One,5,Outta Here
5055,Biz Markie,6,Young Girl Bluez
5056,Eazy-E,7,Real Muthaphuckkin G's
5057,George Clinton,8,Paint The White House Black
5058,Dred Scott,9,Nutin' Ta Lose
5059,Kris Kross,10,I'm Real
5060,Tha Alkaholiks,11,Make Room
5061,Leaders Of The New School,12,What's Next?
5062,Shaquille O'Neal,13,(I Know I Got) Skillz
5063,Poison Clan,14,Don't Sleep On A Hizzo
5064,Souls Of Mischief,15,93 'til Infinity
5065,A Tribe Called Quest,16,Award Tour
5066,Black Maddness,17,Wild Brooklyn Bandits
5067,Daddy-O,18,Brooklyn Bounce
5068,ED O.G & DA Bulldogs,19,Skinny Dip (Got It Goin' On)
5069,Wu-Tang Clan,20,Method Man
5070,Das EFX,21,Freakit
5071,Casual,22,That's How It Is
5072,2Pac,23,Keep Ya Head Up
5073,LL Cool J,24,Stand By Your Man
5074,Father,25,69
5075,Salt-N-Pepa,1,Shoop
5076,Eazy-E,2,Real Muthaphuckkin G's
5077,Dr. Dre,3,Let Me Ride
5078,Biz Markie,4,Young Girl Bluez
5079,Onyx,5,Shifftee
5080,Dred Scott,6,Nutin' Ta Lose
5081,KRS-One,7,Outta Here
5082,Kris Kross,8,I'm Real
5083,Shaquille O'Neal,9,(I Know I Got) Skillz
5084,Erick Sermon,10,Stay Real
5085,Father,11,69
5086,Das EFX,12,Freakit
5087,A Tribe Called Quest,13,Award Tour
5088,George Clinton,14,Paint The White House Black
5089,2Pac,15,Keep Ya Head Up
5090,Daddy-O,16,Brooklyn Bounce
5091,Wu-Tang Clan,17,Method Man
5092,Souls Of Mischief,18,93 'til Infinity
5093,M.C. Breed,19,Tight
5094,Black Maddness,20,Wild Brooklyn Bandits
5095,Patra (Featuring Lyn Collins),21,Think (About It)
5096,ED O.G & DA Bulldogs,22,Skinny Dip (Got It Goin' On)
5097,Leaders Of The New School,23,What's Next?
5098,Rumpletilskinz,24,Is It Alright?
5099,Scarface,25,Now I Feel Ya
5100,Salt-N-Pepa,1,Shoop
5101,2Pac,2,Keep Ya Head Up
5102,Shaquille O'Neal,3,(I Know I Got) Skillz
5103,Tag Team,4,Whoomp! (There It Is)
5104,Eazy-E,5,Real Muthaphuckkin G's
5105,Das EFX,6,Freakit
5106,A Tribe Called Quest,7,Award Tour
5107,Queen Latifah,8,U.N.I.T.Y.
5108,Domino,9,Getto Jam
5109,K7,10,Come Baby Come
5110,MC Ren,11,Same Ol' Shit
5111,Kris Kross,12,I'm Real
5112,Father,13,69
5113,2Pac,14,I Get Around
5114,MC Lyte,15,Ruffneck
5115,Dr. Dre,16,Let Me Ride
5116,Too $hort,17,I'm A Player
5117,Erick Sermon,18,Stay Real
5118,Scarface,19,Now I Feel Ya
5119,Souls Of Mischief,20,93 'til Infinity
5120,Jeru The Damaja,21,Come Clean
5121,Wu-Tang Clan,22,Method Man
5122,12 Gauge,23,Dunkie Butt (Please Please Please)
5123,Rakim,24,Heat It Up
5124,Lords Of The Underground,25,Here Come The Lords
5125,Salt-N-Pepa,1,Shoop
5126,2Pac,2,Keep Ya Head Up
5127,Ice Cube,3,Really Doe
5128,Tag Team,4,Whoomp! (There It Is)
5129,Shaquille O'Neal,5,(I Know I Got) Skillz
5130,Domino,6,Getto Jam
5131,Eazy-E,7,Real Muthaphuckkin G's
5132,Queen Latifah,8,U.N.I.T.Y.
5133,A Tribe Called Quest,9,Award Tour
5134,Das EFX,10,Freakit
5135,K7,11,Come Baby Come
5136,MC Ren,12,Same Ol' Shit
5137,Kris Kross,13,I'm Real
5138,Father,14,69
5139,12 Gauge,15,Dunkie Butt (Please Please Please)
5140,Jeru The Damaja,16,Come Clean
5141,2Pac,17,I Get Around
5142,Jazzy Jeff & The Fresh Prince,18,I'm Looking For The One (To Be With Me)
5143,Souls Of Mischief,19,93 'til Infinity
5144,MC Lyte,20,Ruffneck
5145,Born Jamericans,21,Boom Shak A-Tack
5146,Lords Of The Underground,22,Here Come The Lords
5147,Mista Grimm,23,Indo Smoke
5148,Scarface,24,Now I Feel Ya
5149,Wu-Tang Clan,25,Method Man
5150,Salt-N-Pepa,1,Shoop
5151,2Pac,2,Keep Ya Head Up
5152,Domino,3,Getto Jam
5153,Tag Team,4,Whoomp! (There It Is)
5154,Snoop Dogg,5,What's My Name?
5155,Shaquille O'Neal,6,(I Know I Got) Skillz
5156,Ice Cube,7,Really Doe
5157,Queen Latifah,8,U.N.I.T.Y.
5158,Eazy-E,9,Real Muthaphuckkin G's
5159,A Tribe Called Quest,10,Award Tour
5160,K7,11,Come Baby Come
5161,Das EFX,12,Freakit
5162,MC Ren,13,Same Ol' Shit
5163,12 Gauge,14,Dunkie Butt (Please Please Please)
5164,Kris Kross,15,I'm Real
5165,Father,16,69
5166,Jeru The Damaja,17,Come Clean
5167,Jazzy Jeff & The Fresh Prince,18,I'm Looking For The One (To Be With Me)
5168,Lords Of The Underground,19,Here Come The Lords
5169,2Pac,20,I Get Around
5170,Born Jamericans,21,Boom Shak A-Tack
5171,Mista Grimm,22,Indo Smoke
5172,MC Lyte,23,Ruffneck
5173,Wu-Tang Clan,24,Method Man
5174,Souls Of Mischief,25,93 'til Infinity
5175,Snoop Dogg,1,What's My Name?
5176,Domino,2,Getto Jam
5177,2Pac,3,Keep Ya Head Up
5178,Salt-N-Pepa,4,Shoop
5179,Tag Team,5,Whoomp! (There It Is)
5180,Shaquille O'Neal,6,(I Know I Got) Skillz
5181,Queen Latifah,7,U.N.I.T.Y.
5182,Eazy-E,8,Real Muthaphuckkin G's
5183,A Tribe Called Quest,9,Award Tour
5184,Ice Cube,10,Really Doe
5185,K7,11,Come Baby Come
5186,12 Gauge,12,Dunkie Butt (Please Please Please)
5187,Das EFX,13,Freakit
5188,Jeru The Damaja,14,Come Clean
5189,MC Ren,15,Same Ol' Shit
5190,Father,16,69
5191,Kris Kross,17,I'm Real
5192,Lords Of The Underground,18,Here Come The Lords
5193,Born Jamericans,19,Boom Shak A-Tack
5194,Jazzy Jeff & The Fresh Prince,20,I'm Looking For The One (To Be With Me)
5195,2Pac,21,I Get Around
5196,Souls Of Mischief,22,93 'til Infinity
5197,MC Lyte,23,Ruffneck
5198,Wu-Tang Clan,24,Method Man
5199,Mista Grimm,25,Indo Smoke
5200,Snoop Dogg,1,What's My Name?
5201,Domino,2,Getto Jam
5202,2Pac,3,Keep Ya Head Up
5203,Tag Team,4,Whoomp! (There It Is)
5204,Salt-N-Pepa,5,Shoop
5205,Queen Latifah,6,U.N.I.T.Y.
5206,Shaquille O'Neal,7,(I Know I Got) Skillz
5207,Eazy-E,8,Real Muthaphuckkin G's
5208,K7,9,Come Baby Come
5209,A Tribe Called Quest,10,Award Tour
5210,12 Gauge,11,Dunkie Butt (Please Please Please)
5211,Ice Cube,12,Really Doe
5212,Das EFX,13,Freakit
5213,Jeru The Damaja,14,Come Clean
5214,Father,15,69
5215,MC Ren,16,Same Ol' Shit
5216,Kris Kross,17,I'm Real
5217,Lords Of The Underground,18,Here Come The Lords
5218,2Pac,19,I Get Around
5219,Born Jamericans,20,Boom Shak A-Tack
5220,MC Lyte,21,Ruffneck
5221,KRS-One,22,Sound Of Da Police
5222,US3,23,Cantaloop (Flip Fantasia)
5223,Shabba Ranks Featuring Patra And Terri & Monica,24,"Family Affair (From ""Addams Family Values"")"
5224,Jazzy Jeff & The Fresh Prince,25,I'm Looking For The One (To Be With Me)
5225,Snoop Dogg,1,What's My Name?
5226,Domino,2,Getto Jam
5227,2Pac,3,Keep Ya Head Up
5228,Tag Team,4,Whoomp! (There It Is)
5229,Queen Latifah,5,U.N.I.T.Y.
5230,Shaquille O'Neal,6,(I Know I Got) Skillz
5231,Salt-N-Pepa,7,Shoop
5232,Eazy-E,8,Real Muthaphuckkin G's
5233,A Tribe Called Quest,9,Award Tour
5234,12 Gauge,10,Dunkie Butt (Please Please Please)
5235,K7,11,Come Baby Come
5236,Ice Cube,12,Really Doe
5237,Das EFX,13,Freakit
5238,Kris Kross,14,I'm Real
5239,Jeru The Damaja,15,Come Clean
5240,Father,16,69
5241,MC Ren,17,Same Ol' Shit
5242,2Pac,18,I Get Around
5243,US3,19,Cantaloop (Flip Fantasia)
5244,Lords Of The Underground,20,Here Come The Lords
5245,Born Jamericans,21,Boom Shak A-Tack
5246,Wu-Tang Clan,22,Method Man
5247,MC Lyte,23,Ruffneck
5248,Shabba Ranks Featuring Patra And Terri & Monica,24,"Family Affair (From ""Addams Family Values"")"
5249,Dr. Dre,25,Let Me Ride
5250,Domino,1,Getto Jam
5251,2Pac,2,Keep Ya Head Up
5252,Snoop Dogg,3,What's My Name?
5253,Queen Latifah,4,U.N.I.T.Y.
5254,Tag Team,5,Whoomp! (There It Is)
5255,Shaquille O'Neal,6,(I Know I Got) Skillz
5256,Eazy-E,7,Real Muthaphuckkin G's
5257,A Tribe Called Quest,8,Award Tour
5258,12 Gauge,9,Dunkie Butt (Please Please Please)
5259,Salt-N-Pepa,10,Shoop
5260,K7,11,Come Baby Come
5261,Ice Cube,12,Really Doe
5262,Jeru The Damaja,13,Come Clean
5263,Das EFX,14,Freakit
5264,US3,15,Cantaloop (Flip Fantasia)
5265,Father,16,69
5266,Kris Kross,17,I'm Real
5267,Lords Of The Underground,18,Here Come The Lords
5268,MC Ren,19,Same Ol' Shit
5269,2Pac,20,I Get Around
5270,Cypress Hill,21,We Ain't Goin' Out Like That
5271,Shabba Ranks Featuring Patra And Terri & Monica,22,"Family Affair (From ""Addams Family Values"")"
5272,Mista Grimm,23,Indo Smoke
5273,Born Jamericans,24,Boom Shak A-Tack
5274,KRS-One,25,Sound Of Da Police
5275,Domino,1,Getto Jam
5276,Queen Latifah,2,U.N.I.T.Y.
5277,2Pac,3,Keep Ya Head Up
5278,Tag Team,4,Whoomp! (There It Is)
5279,12 Gauge,5,Dunkie Butt (Please Please Please)
5280,Snoop Dogg,6,What's My Name?
5281,Shaquille O'Neal,7,(I Know I Got) Skillz
5282,Eazy-E,8,Real Muthaphuckkin G's
5283,A Tribe Called Quest,9,Award Tour
5284,Jeru The Damaja,10,Come Clean
5285,K7,11,Come Baby Come
5286,Ice Cube,12,Really Doe
5287,US3,13,Cantaloop (Flip Fantasia)
5288,Salt-N-Pepa,14,Shoop
5289,Shabba Ranks Featuring Patra And Terri & Monica,15,"Family Affair (From ""Addams Family Values"")"
5290,Father,16,69
5291,KRS-One,17,Sound Of Da Police
5292,Das EFX,18,Freakit
5293,Lords Of The Underground,19,Here Come The Lords
5294,MC Ren,20,Same Ol' Shit
5295,Born Jamericans,21,Boom Shak A-Tack
5296,Cypress Hill,22,We Ain't Goin' Out Like That
5297,Kris Kross,23,I'm Real
5298,Wu-Tang Clan,24,Method Man
5299,Mista Grimm,25,Indo Smoke
5300,Domino,1,Getto Jam
5301,Salt-N-Pepa Featuring En Vogue,2,Whatta Man
5302,Queen Latifah,3,U.N.I.T.Y.
5303,12 Gauge,4,Dunkie Butt (Please Please Please)
5304,2Pac,5,Keep Ya Head Up
5305,Tag Team,6,Whoomp! (There It Is)
5306,Shaquille O'Neal,7,(I Know I Got) Skillz
5307,Snoop Dogg,8,What's My Name?
5308,A Tribe Called Quest,9,Award Tour
5309,Jeru The Damaja,10,Come Clean
5310,Eazy-E,11,Real Muthaphuckkin G's
5311,US3,12,Cantaloop (Flip Fantasia)
5312,Ice Cube,13,Really Doe
5313,K7,14,Come Baby Come
5314,Born Jamericans,15,Boom Shak A-Tack
5315,Shabba Ranks Featuring Patra And Terri & Monica,16,"Family Affair (From ""Addams Family Values"")"
5316,Father,17,69
5317,KRS-One,18,Sound Of Da Police
5318,Salt-N-Pepa,19,Shoop
5319,Das EFX,20,Freakit
5320,Lords Of The Underground,21,Here Come The Lords
5321,MC Ren,22,Same Ol' Shit
5322,Kris Kross,23,I'm Real
5323,Mista Grimm,24,Indo Smoke
5324,Cypress Hill,25,We Ain't Goin' Out Like That
5325,Domino,1,Getto Jam
5326,Salt-N-Pepa Featuring En Vogue,2,Whatta Man
5327,12 Gauge,3,Dunkie Butt (Please Please Please)
5328,Queen Latifah,4,U.N.I.T.Y.
5329,2Pac,5,Keep Ya Head Up
5330,Tag Team,6,Whoomp! (There It Is)
5331,US3,7,Cantaloop (Flip Fantasia)
5332,Shaquille O'Neal,8,(I Know I Got) Skillz
5333,Eazy-E,9,Real Muthaphuckkin G's
5334,Jeru The Damaja,10,Come Clean
5335,Snoop Dogg,11,What's My Name?
5336,A Tribe Called Quest,12,Award Tour
5337,Shabba Ranks Featuring Patra And Terri & Monica,13,"Family Affair (From ""Addams Family Values"")"
5338,Ice Cube,14,Really Doe
5339,K7,15,Come Baby Come
5340,Born Jamericans,16,Boom Shak A-Tack
5341,KRS-One,17,Sound Of Da Police
5342,Father,18,69
5343,Das EFX,19,Freakit
5344,Too $hort,20,Money In The Ghetto
5345,MC Ren,21,Same Ol' Shit
5346,Raheem The Dream,22,Short Shorts
5347,K7,23,Zunga Zeng
5348,Salt-N-Pepa,24,Shoop
5349,Lords Of The Underground,25,Here Come The Lords
5350,Domino,1,Getto Jam
5351,Salt-N-Pepa Featuring En Vogue,2,Whatta Man
5352,12 Gauge,3,Dunkie Butt (Please Please Please)
5353,Queen Latifah,4,U.N.I.T.Y.
5354,M.C. Hammer,5,It's All Good
5355,Shabba Ranks Featuring Patra And Terri & Monica,6,"Family Affair (From ""Addams Family Values"")"
5356,2Pac,7,Keep Ya Head Up
5357,US3,8,Cantaloop (Flip Fantasia)
5358,Tag Team,9,Whoomp! (There It Is)
5359,OutKast,10,Player's Ball
5360,Shaquille O'Neal,11,(I Know I Got) Skillz
5361,Snoop Doggy Dogg,12,Gin And Juice
5362,Jeru The Damaja,13,Come Clean
5363,A Tribe Called Quest,14,Award Tour
5364,Eazy-E,15,Real Muthaphuckkin G's
5365,Ice Cube,16,Really Doe
5366,Snoop Dogg,17,What's My Name?
5367,Too $hort,18,Money In The Ghetto
5368,K7,19,Come Baby Come
5369,Born Jamericans,20,Boom Shak A-Tack
5370,Father,21,69
5371,KRS-One,22,Sound Of Da Police
5372,Raheem The Dream,23,Short Shorts
5373,Lords Of The Underground,24,Here Come The Lords
5374,MC Ren,25,Same Ol' Shit
5375,Domino,1,Getto Jam
5376,Salt-N-Pepa Featuring En Vogue,2,Whatta Man
5377,M.C. Hammer,3,It's All Good
5378,12 Gauge,4,Dunkie Butt (Please Please Please)
5379,Snoop Doggy Dogg,5,Gin And Juice
5380,OutKast,6,Player's Ball
5381,Queen Latifah,7,U.N.I.T.Y.
5382,Shabba Ranks Featuring Patra And Terri & Monica,8,"Family Affair (From ""Addams Family Values"")"
5383,US3,9,Cantaloop (Flip Fantasia)
5384,Tag Team,10,Whoomp! (There It Is)
5385,2Pac,11,Keep Ya Head Up
5386,Shaquille O'Neal,12,(I Know I Got) Skillz
5387,Jeru The Damaja,13,Come Clean
5388,A Tribe Called Quest,14,Award Tour
5389,Ice Cube,15,You Know How We Do It
5390,Too $hort,16,Money In The Ghetto
5391,Eazy-E,17,Real Muthaphuckkin G's
5392,Shaquille O'Neal,18,I'm Outstanding
5393,Gang Starr,19,Mass Appeal
5394,Born Jamericans,20,Boom Shak A-Tack
5395,Ice Cube,21,Really Doe
5396,Snoop Dogg,22,What's My Name?
5397,K7,23,Come Baby Come
5398,Father,24,69
5399,KRS-One,25,Sound Of Da Police
